0	1	1
0.15	0.988771	0.977668
0.3	0.955337	0.912668
0.45	0.900447	0.810805
0.6	0.825336	0.681179
0.75	0.731689	0.535369
0.9	0.62161	0.386399
1.05	0.497571	0.247577
1.2	0.362358	0.131303
1.35	0.219007	0.047964
1.5	0.0707373	0.00500377
1.65	-0.0791207	0.00626009
1.8	-0.227202	0.0516207
1.95	-0.370181	0.137034
2.1	-0.504846	0.25487
2.25	-0.628174	0.394602
2.4	-0.737394	0.54375
2.55	-0.830054	0.688989
2.7	-0.904072	0.817347
2.85	-0.957787	0.917357
3	-0.989993	0.980085
3.15	-0.999965	0.999929
3.3	-0.98748	0.975116
3.45	-0.952818	0.907862
3.6	-0.896758	0.804175
3.75	-0.820559	0.673317
3.9	-0.725932	0.526977
4.05	-0.615001	0.378227
4.2	-0.49026	0.240355
4.35	-0.354508	0.125676
4.5	-0.210794	0.0444343
4.65	-0.062347	0.00388715
4.8	0.0875006	0.00765636
4.95	0.235383	0.0554052
5.1	0.377979	0.142868
5.25	0.512087	0.262233
5.4	0.634694	0.402837
5.55	0.743048	0.55212
5.7	0.834714	0.696747
5.85	0.907634	0.8238
6	0.960171	0.921928
6.15	0.991144	0.982367
